MOLECULE_NAME,SMILES,PPB
103166476,C1C(N=C(C2=CC=CC=C21)N)C3=CC=C(C=C3)F,64.01
103166970,C1CCC2(C1)CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)C4=NC=CC=N4,77.62
103167043,C1CN(CCC1C(=O)C2=CC=C(C=C2)F)CCN3C(=O)C4=CC=CC=C4NC3=O,90.32
103167216,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,85.48
103167682,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,44.27
103167993,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2OC)Cl)Cl)O,89.05
103168087,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl,91.99
103168167,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,82.72
103168790,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,99.88
103168841,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,66.1
103169151,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC,99.63
103169156,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,98.4
103169165,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,57.99
103169185,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O,20.83
103169389,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,98.64
103169414,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31,85.19
103169913,CN1CCN(CC1)CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,24.03
103170049,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,99.5
103170825,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F,84.6
103170845,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,29.9
103171472,C1CNP(=O)(OC1)N(CCCl)CCCl,20.08
103171565,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,96
103172304,C1CCC2=NC3=CC=CC=C3C(=C2C1)N,53.45
103172342,COC1=C(C=C2C(=C1)CC(C2=O)CC3CCN(CC3)CC4=CC=CC=C4)OC,89.49
103173037,CC(C)NC[C@H](COC1=CC=CC2=CC=CC=C21)O,82.39
103173303,CC(CCCN)NC1=C2C(=CC(=C1)OC)C=CC=N2,59.66
103173995,CC(C)N(CCC(C1=CC=CC=C1)(C2=CC=CC=N2)C(=O)N)C(C)C,33.39
103175617,CC1=C(NC(=C1C(=O)NCCN(C)C)C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O,82.72
103175627,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)Cl)NC2=O)C,89.49
103175631,CC(C)(C(=O)N[C@H](COCC1=CC=CC=C1)C(=O)N2CCC3(CC2)CN(C4=CC=CC=C34)S(=O)(=O)C)N,76.81
103176475,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,14.23
103176908,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,92.8
103177051,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,59.66
103177459,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,95.82
103177479,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,99.74
103177556,C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F,92.32
103177753,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,70.58
103178542,CC1=C(C(=CC=C1)C)OCC(C)N,36.53
103178920,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,89.91
103178971,CC(=O)NC1=CC=C(C=C1)O,26.64
103178995,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,24.45
103179006,CCOC1=CC=C(C=C1)NC(=O)C,34.94
103179008,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,98.51
103179009,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,96.17
103179087,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,98.73
103179145,C1=CC(=CN=C1)C(=O)O,44.84
103179427,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,92.8
103179606,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@H]([C@H](CC3=CC=CC=C3)NC(=O)[C@H](CC(=O)N)NC(=O)C4=NC5=CC=CC=C5C=C4)O,98.86
103181002,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,98.94
103181781,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,99.16
103183748,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3,93.1
103185057,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,79.55
103186822,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC2=CC=C(C=C2)F)CC(=O)[C@H](C(C)C)NC(=O)C3=NOC(=C3)C,83.04
103186881,C1CN(CCC1NC(=O)CSC2=NC3=C(S2)C=C(C=C3)N)CC4=CC(=C(C=C4)Cl)Cl,73.81
103188003,CCCN1C2=C(C(=O)NC1=O)NC=N2,67.12
103188044,CC(=O)NC[C@H]1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,22.79
103188158,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,97
103188539,CC1=CC(=O)N(N1C)C2=CC=CC=C2,19.35
103188808,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O,92.95
103188954,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,18.64
103188976,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,46.55
103189004,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-],56.3
103189045,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,93.1
103189071,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,85.48
103189214,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,79.92
103189227,C1CCNC(C1)CNC(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,38.14
103189248,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,98.25
103189284,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,71.05
103189345,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,87.37
103189684,CC1=CC(=C(C=C1)SC2=CC=CC=C2CN(C)C)N,89.05
103189735,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,92.16
103190248,C1=CC2=C(C=C1C(F)(F)F)NC(=O)C2(C3=C(C=CC(=C3)Cl)O)O,98.51
103191369,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,99.68
103193220,CC1CC(=O)NN=C1C2=CC3=C(C=C2)N=C(N3)C4=CC=C(C=C4)OC,89.05
103193630,C[C@@]12C3=CC=CC=C3C[C@@H](N1)C4=CC=CC=C24,47.12
103194712,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,99.9
103194723,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2,97.6
103195118,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,22.79
103195217,CC1=CC2=C(S1)NC3=CC=CC=C3N=C2N4CCN(CC4)C,89.27
103195793,COC1=CC2=C(C=C1)C(=CC(=O)N2CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)O,99.89
103197648,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,98.81
103198445,C1=CC=NC(=C1)C(CNC2=NC=C(N(C2=O)CC(=O)NCC3=C(C=CC=N3)F)Cl)(F)F,71.99
103199196,C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)CC4=CC=CC=C4)F,70.1
103199382,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,55.73
103199488,CNC1(CCCCC1=O)C2=CC=CC=C2Cl,42.01
103199552,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N,97.13
103206765,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)C,98.09
103207442,CC(C)(C1=CC=CC=C1CC[C@H](C2=CC=CC(=C2)/C=C/C3=NC4=C(C=CC(=C4)Cl)C=C3)SCC5(CC5)CC(=O)O)O,99.95
103211976,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)/C=C/C(=O)O)/C3=CC=CC=C3,99.67
103213015,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,98.54
103214033,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F,75.55
103214422,C1=CC=C(C(=C1)NC(=O)NC2=CC=C(C3=NNN=C23)C#N)Br,99.58
103215028,COC1=CC=C(C=C1)CC2=C(NN=C2N)N,80.65
103216314,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O,34.42
103219083,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,99.31
103220117,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O,92.32
103220716,CCOC(=O)NC1=C(C=C(C=C1)NCC2=CC=C(C=C2)F)N,86.05
103220983,CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4,92.64
103222315,CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2)Br)OC)OC,45.98
103222919,CCC1=CC=CC2=C1OC(=C2)C(CNC(C)(C)C)O,91.99
103223987,CC1=CC=C(C=C1)/C(=C\CN2CCCC2)/C3=CC=CC=N3,35.46
103224052,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F,97.38
103224657,CNCCC(C1=CC=CC=C1)OC2=CC=CC=C2OC,51.73
103225393,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,97.55
103226686,CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)O)O,98.4
103228169,CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=O)C=C(C=C3)OCCN(CC)CC,48.27
103231552,CN(C)CCNC1=CC(=NC2=CC=CC=C21)C3=CC=NC=C3,85.77
103232002,C1CN(CCN1C2CC3=CC=CC=C3C2)C4=C5C(=CC=C4)OCCO5,97.38
103232282,C1=CC=C2C(=C1)NC(=N2)CCC3=NC4=CC=CC=C4N3,84
103232921,CN1C2=C(C=C(C=C2)C(=O)N(CCC(=O)O)C3=CC=CC=N3)N=C1CNC4=CC=C(C=C4)C(=N)N,47.12
103233356,C1CN(CC2=CC=CC=C21)C3=CC=NC=C3,56.86
103234498,CN1C(=NC2=C(N=C(N=C21)C#CC3(CCCC3)O)N)C4=CC(=CC=C4)F,88.11
103234592,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,45.98
103234893,C1CN(CCN1CCOCCO)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,91.82
103235071,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,99.79
103236856,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)Cl,99.51
103238871,CC(C)(C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O)C(=O)O,62.94
103239932,C1=CC=C(C=C1)COC2=CC=C(C=C2)CC(=O)NO,93.67
103240316,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,99.83
103241019,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)N)Cl,95.23
103243148,CC(C)(C1=CN=CC=C1)C(=O)C2=CN=CC=C2,11.18
103245522,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,93.67
103246179,C1=CC(=C(C(=C1)Br)C2=C(N=C3C(=C2)C=NC(=N3)N)N)Br,88.59
103246205,C1(=C(N=C(C(=N1)Cl)N)N)C(=O)N=C(N)N,27.09
103248420,C1=CC(=CC=C1NC(=O)C2=C[N+](=C(C=C2)Cl)[O-])F,53.45
103249306,C1=CC=C(C=C1)S(=O)(=O)N(CC(F)(F)F)C2=CC=C(C=C2)C(C(F)(F)F)(C(F)(F)F)O,99.56
103250068,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,98.7
103252336,C[C@H](CC1=CC=CC=C1)N(C)CC#C,72.91
103256438,CC(C)(C(=O)O)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,98.81
103256585,C1COCCN1C2=NC=C(C=C2)C3=NC4=NC=NC(=C4C(=C3)C5=CC(=CC=C5)Br)N,96.57
103257697,CS(=O)(=O)NC1=CC2=C(C=C1)N=C(N2)CC3=CC=C(C=C3)OC4=CC=CC=C4,99.45
103261008,COC1=C(C=CC(=C1)NC(=O)NC2=CC=CC(=C2)CNC(=O)O[C@H]3CCOC3)C4=CN=CO4,98.7
103266652,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,81.01
103269760,CN1CCN(CC1)C2=NC3=CC=CC=C3NC4=C2C=C(C=C4)OS(=O)(=O)C(F)(F)F,96.42
103270087,C[C@@](C(=O)NC1=C(C=C(C=C1)S(=O)(=O)C)Cl)(C(F)(F)F)O,60.77
103271997,CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,99.23
103273527,CC1=CC=C(C=C1)C(=O)C2=CC=C(N2C)CC(=O)O,99.72
103274161,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,98.44
103275460,COC1=CC=CC(=C1OC)[C@@H](C2CCN(CC2)CCC3=CC=C(C=C3)F)O,34.94
103276854,CC1=C(SC=C1)C(=CCCN2CCC[C@H](C2)C(=O)O)C3=C(C=CS3)C,94.9
103280620,C1COCCC1(CS(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)Cl)C(=O)NO,98
103281992,C1CN(CCN1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,94.19
103282261,CN(CC(=O)O)NC(=O)C[C@@H](C[C@H](CN)O)N,12.63
103283058,C1=CC=C(C=C1)CCOCCCS(=O)(=O)CCNCCC2=C3C(=C(C=C2)O)NC(=O)S3,94.44
103288599,CN1CCC[C@@H]1CC2=CNC3=C2C=C(C=C3)NC4=C(C=CC=N4)[N+](=O)[O-],86.32
103288972,C1=CC=C2C(=C1)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,81.01
103292815,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,99.78
103292970,CC(C)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)CC3=CC=CC=C3,71.05
103292984,C1=CC=C(C=C1)C2=C(OC(=N2)CCC(=O)O)C3=CC=CC=C3,99.95
103293038,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,98.44
103293043,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,99.12
103293748,COC1=CC(=C(C=C1)OC)C(CN)O,21.99
103298269,C1CCC(C1)[C@H](C2=CC=C(C=C2)OCC3=NC4=CC=CC=C4C=C3)C(=O)O,99.85
103298695,C1=CC=C(C=C1)C2=NNC3=CC=CC=C32,96.93
103301322,CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)C,92.32
103303305,CC1N=C(N=C(N1C2=CC=C(C=C2)Cl)N)N,25.31
103303707,CNC1=CC=C(C=C1)C2=NC3=C(S2)C=C(C=C3)O,98.89
103306370,C1=CC=C(C=C1)N2C(=CC=N2)NS(=O)(=O)C3=CC=C(C=C3)N,99.41
103307981,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,89.05
103309883,C1=CC2=C(C=C1F)SC(=N2)N,84
103311872,CC(C)NC(=O)C1=CC2=C(C=C1)C(=NC(=N2)N3CCOCC3)NC4=CC=C(C=C4)Cl,99.49
103313167,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NS(=O)(=O)C,15.1
103314113,C1=CC=C(C=C1)N2C3=CC=CC=C3C(C2=O)(CC4=CC=NC=C4)CC5=CC=NC=C5,99.6
103315066,CN(C)C(=O)[C@@H]([C@H](CC1=CC=CC=C1)NC(=O)C2=CC3=C(N2)C=CC(=C3)Cl)O,97.81
103319568,CCOC(=O)C1=CNC2=C(C1=O)C=CC=C2N,79.92
103320031,CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5,99.66
103324898,C1C(N=C(O1)C2=CC(=C(C=C2)F)C(F)(F)F)C(=O)NO,91.64
103325890,C[C@H]([C@@H](C1=CC=C(C=C1)O)O)N2CCC(CC2)(C3=CC=CC=C3)O,31.87
103329335,CCCC1=C(C(=CC(=C1)C2=N[C@H](CO2)C(=O)NO)OC)OC,94.32
103329618,CCO/N=C/C1=CC=C(C=C1)OCCC2CCN(CC2)C3=NN=C(C=C3)C,99.72
103331380,CN(CCCOCCOCCC1=CC=CC=C1)CCC2=C3C(=C(C=C2)O)NC(=O)S3,90.12
103331440,CN(CCNCCC1=C2C(=C(C=C1)O)NC(=O)S2)C(=O)CCOCCC3=CC=CC=C3,89.27
103334264,CC(C)(C(=O)N[C@H](COCC1=C(C=C(C=C1)F)F)C(=O)N2CCC3=NN(C(=O)[C@@]3(C2)CC4=CC=CC=N4)CC(F)(F)F)N,74.69
103335836,C1CN(CCC12NC3=C(C=CC(=C3C(=N2)N)F)F)C(=O)C4=CN=C(C=C4)C#N,86.59
103338073,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,86.85
103338373,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,99.77
103342361,CCNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O,57.99
103344983,C[C@@H](C(=O)NC1C2=CC=CC=C2C3=CC=CC=C3N(C1=O)C)NC(=O)CC4=CC(=CC(=C4)F)F,99.01
103353725,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,93.53
103354844,C1CCC(CC1)C2(CCN(CC2)C(=O)[C@@H](CC3=CC=C(C=C3)Cl)NC(=O)[C@H]4CC5=CC=CC=C5CN4)CN6C=NC=N6,99.3
103355754,COC1=CC=CC2=C1N=C(NC2=O)C3=CC=C(C=C3)C(F)(F)F,94.56
103360381,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=O)N2,98.81
103362798,CC(C)C(=O)NC1=NC(=CC2=CC=CC=C21)C3=CC=CC=N3,97.55
103364525,CC(=O)NCC1=CC(=CC=C1)C(=O)O,83.04
103367425,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)O)C(=O)O)C,45.41
103367920,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O,99.76
103376533,CCN(CC)CC#CCOC(=O)C(C1CCCCC1)(C2=CC=CC=C2)O,97.07
103379543,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2(C3C1C4CC[C@]5([C@]4(CC3)C)CCC(=O)O5)C,75.97
103381951,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC#C)N2C=CC=C(C2=O)NC(=O)C3=NOC(=C3)C,55.73
103382559,CN(C)C1=NC2=CC=CC=C2C(=C1)NC(=O)NC3=CC(=CC=C3)Cl,99.86
103383001,CC(C(=O)NC1=CC(=CC=C1)S(=O)(=O)C2=CC=CC=C2)(C(F)(F)F)O,90.91
103383078,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=CC=C2)(C(F)(F)F)O,97.71
103384889,CC1=NOC(=C1)CCCOC2=C(C=C(C=C2Cl)C3=NCCO3)Cl,99.66
103386275,CCOC(=O)NC1=NC(=C2C(=C1)NCCC(=N2)C3=CC=CC=C3)N,94.56
103389223,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,93.39
103394669,CCC1=C(C2=C(N1CC3=CC=CC=C3)C=CC=C2OCC(=O)N)C(=O)C(=O)N,84.9
103394702,CCC1=C(C2=C(N1CC3=CC=CC=C3)C=CC=C2OCC(=O)O)C(=O)C(=O)N,87.62
103394824,CCOC1=C(C=CC(=C1)CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O,99.1
103395540,CC1=C(C(=CC=C1)C(=O)N)NC(=O)C2=CC=CC=C2,55.16
103396795,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,85.19
103398016,CC(=O)C1=CC2=C(C=C(C=C2)O)OC1=O,98.51
103401109,COC1=CC2=C(C=CN=C2C=C1)[C@@H]([C@H]3C[C@@H]4CCN3C[C@@H]4C=C)O,85.48
103402147,CC1=CC(=C(C(=C1C)CN2C=CC3=C(C=CC=C32)/C=N/NC(=O)C4=CC(=C(C=C4)O)C#N)C)C,96
103405054,CN1CCC2=C3[C@H]1CC4=C(C3=CC=C2)C(=C(C=C4)OC)O,93.8
103410174,COC1=CC=C(C=C1)C2=C(C(=O)NC(=N2)N3CCOCC3)C#N,93.53
103414866,CC1=NC=CN1C2=CC=C(C=C2)COC3=CC(=CC(=C3)C4(CCOCC4)C(=O)N)F,89.91
103417222,CC1=NC(=CC=C1)C2=NC3=C(N2)C=C(C=C3)Cl,98.89
103418150,CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3,99.47
103419630,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCCC2)(C(F)(F)F)O,78.01
103419664,CC(C(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCOCC2)(C(F)(F)F)O,62.94
103424661,B1(C2=CC=CC=C2NC(=O)N1C3=CC=CC=C3)O,82.05
103424662,B1(C2=CC=CC=C2C=NN1S(=O)(=O)C3=CC=C(C=C3)C)O,91.64
